root_form,form_name,filed_at,reporting_for,entity_name,ticker,company_cik,company_cik_trimmed,place_of_business,incorporated_location,file_num,film_num,file_num_search_url,filing_details_url,filing_document_url
NPORT-P,,2024-01-26,2023-11-30,EATON VANCE MUNICIPALS TRUST,,0000778365,778365,"Boston, Massachusetts",[],811-04409,24565069,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-04409&action=getcompany,https://www.sec.gov/Archives/edgar/data/778365/000175272424014825/0001752724-24-014825-index.html,https://www.sec.gov/Archives/edgar/data/778365/000175272424014825/NPORT_FJ1M_68381908_1123.htm
6-K,Current report,2024-01-16,2024-01-16,STMicroelectronics N.V.,"STM, STMEF",0000932787,932787,"Schiphol Airport, Netherlands",Netherlands,001-13546,24535340,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-13546&action=getcompany,https://www.sec.gov/Archives/edgar/data/932787/000094787124000032/0000947871-24-000032-index.html,https://www.sec.gov/Archives/edgar/data/932787/000094787124000032/ss2910504_6k.htm
NPORT-P,,2024-03-28,2024-01-31,IndexIQ Active ETF Trust,,0001426439,1426439,"New York, New York",Delaware,811-22739,24795831,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-22739&action=getcompany,https://www.sec.gov/Archives/edgar/data/1426439/000175272424073308/0001752724-24-073308-index.html,https://www.sec.gov/Archives/edgar/data/1426439/000175272424073308/primary_doc.xml
NPORT-P,,2024-03-27,2024-01-31,iSHARES TRUST,,0001100663,1100663,"San Francisco, California",Delaware,811-09729,24788605,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-09729&action=getcompany,https://www.sec.gov/Archives/edgar/data/1100663/000175272424071010/0001752724-24-071010-index.html,https://www.sec.gov/Archives/edgar/data/1100663/000175272424071010/primary_doc.xml
NPORT-P,,2024-03-28,2024-01-31,DFA INVESTMENT DIMENSIONS GROUP INC,,0000355437,355437,"Austin, Texas",Maryland,811-03258,24795181,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-03258&action=getcompany,https://www.sec.gov/Archives/edgar/data/355437/000175272424073060/0001752724-24-073060-index.html,https://www.sec.gov/Archives/edgar/data/355437/000175272424073060/primary_doc.xml
NPORT-P,,2024-02-26,2023-12-29,NORTHERN FUNDS,,0000916620,91662,"Chicago, Illinois",Delaware,811-08236,24675037,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-08236&action=getcompany,https://www.sec.gov/Archives/edgar/data/91662/000114554924008079/0001145549-24-008079-index.html,https://www.sec.gov/Archives/edgar/data/91662/000114554924008079/fixedincome.htm
NPORT-P,,2024-02-23,2023-12-29,FundVantage Trust,,0001388485,1388485,"Wilmington, Delaware",Delaware,811-22027,24669287,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-22027&action=getcompany,https://www.sec.gov/Archives/edgar/data/1388485/000175272424036289/0001752724-24-036289-index.html,https://www.sec.gov/Archives/edgar/data/1388485/000175272424036289/MB62FV123123.htm
6-K,Current report,2024-01-10,2024-01-10,STMicroelectronics N.V.,"STM, STMEF",0000932787,932787,"Schiphol Airport, Netherlands",Netherlands,001-13546,24526760,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-13546&action=getcompany,https://www.sec.gov/Archives/edgar/data/932787/000094787124000023/0000947871-24-000023-index.html,https://www.sec.gov/Archives/edgar/data/932787/000094787124000023/ss2895101_6k.htm
NPORT-P,,2024-02-27,2023-12-31,Brookfield Investment Funds,,0001520738,1520738,"New York, New York",New York,811-22558,24683757,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-22558&action=getcompany,https://www.sec.gov/Archives/edgar/data/1520738/000114554924010015/0001145549-24-010015-index.html,https://www.sec.gov/Archives/edgar/data/1520738/000114554924010015/primary_doc.xml
NPORT-P,,2024-02-26,2023-12-31,iSHARES TRUST,,0001100663,1100663,"San Francisco, California",Delaware,811-09729,24679134,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-09729&action=getcompany,https://www.sec.gov/Archives/edgar/data/1100663/000175272424040740/0001752724-24-040740-index.html,https://www.sec.gov/Archives/edgar/data/1100663/000175272424040740/primary_doc.xml
N-CSRS,Semi-annual shareholder report,2024-02-02,2023-11-30,NUVEEN MULTISTATE TRUST I,,0001018972,1018972,"Chicago, Illinois",Massachusetts,811-07747,24589117,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-07747&action=getcompany,https://www.sec.gov/Archives/edgar/data/1018972/000119312524022479/0001193125-24-022479-index.html,https://www.sec.gov/Archives/edgar/data/1018972/000119312524022479/d492273dncsrs.htm
